dep_res;1968;1975;1982;1990;1999;2006
1;0,002585963;0,002608615;0,00295768;0,003560325;0,00369141;0,003884878
2;0,00643121;0,005248606;0,004537273;0,004939382;0,004486079;0,003943214
3;0,003642893;0,003612385;0,003673833;0,004130317;0,004426461;0,004145097
4;0,003265368;0,006218961;0,006781254;0,007324666;0,006318901;0,005995557
5;0,003213758;0,004470709;0,004745094;0,006302207;0,006398432;0,007813124
6;0,007767538;0,00884072;0,00847712;0,008985124;0,008945214;0,008395667
7;0,001633408;0,001424085;0,00230215;0,002767611;0,003250741;0,003487868
8;0,004138718;0,003267395;0,003279079;0,003611093;0,003113289;0,002947638
9;0,00207236;0,002202166;0,003010112;0,003637402;0,004891399;0,005715139
10;0,004946329;0,004590868;0,004680987;0,004656851;0,00491536;0,004643914
11;0,002024789;0,002683595;0,003916877;0,004551646;0,005944088;0,006415865
12;0,001263917;0,001726805;0,002173225;0,002481848;0,003418577;0,003654754
13;0,005616863;0,005729755;0,005795834;0,00603576;0,006082793;0,006159099
14;0,026678947;0,025541816;0,021980111;0,020447811;0,020268417;0,019343121
15;0,00120147;0,001226774;0,002035212;0,002267559;0,002986422;0,002938354
16;0,005717955;0,005835395;0,006521586;0,006563561;0,00766;0,007802554
17;0,014195284;0,013859071;0,013330623;0,013575381;0,015495694;0,01636062
18;0,008672799;0,009037805;0,008327923;0,008002439;0,009028972;0,0078457
19;0,002925796;0,003318538;0,004167971;0,004480768;0,005043995;0,005710553
21;0,004193907;0,004387894;0,004843932;0,004298957;0,00497861;0,004763981
22;0,910250641;0,885305651;0,860771597;0,844514768;0,809162711;0,769688564
23;0,00411904;0,004139944;0,004687006;0,004789068;0,005902875;0,004442944
24;0,006706345;0,007136449;0,007288136;0,007442995;0,007888912;0,007328761
25;0,002215202;0,002945883;0,002622113;0,002811357;0,003047895;0,002982088
26;0,003398769;0,003808571;0,003961231;0,004305915;0,004850946;0,004870491
27;0,024373194;0,022083397;0,018371276;0,016093496;0,015254002;0,013228274
28;0,03015934;0,026694688;0,024366547;0,022014592;0,020664315;0,01801517
29;0,921648539;0,896462232;0,870592663;0,852438831;0,816182074;0,78792532
30;0,00494564;0,004056323;0,004592779;0,005661319;0,006081024;0,006277256
31;0,004539946;0,005253194;0,00512383;0,006491858;0,008019878;0,008706714
32;0,004003096;0,003628571;0,004078173;0,005451642;0,005914513;0,006226049
33;0,008104309;0,007645454;0,008225754;0,008939989;0,011072908;0,0112432
34;0,003309507;0,003944667;0,004999746;0,00637622;0,006767276;0,007544851
35;0,854318329;0,830511731;0,806984626;0,789783861;0,751863161;0,718019637
36;0,00892091;0,009705394;0,008409181;0,008279797;0,008586815;0,007770685
37;0,017912501;0,017622067;0,016843042;0,01628769;0,016548228;0,015479833
38;0,003616504;0,003670066;0,004167699;0,004650545;0,005638638;0,005217925
39;0,001973571;0,001870752;0,001897596;0,002219662;0,002967406;0,002685729
40;0,005165125;0,005792045;0,005526422;0,007020603;0,008236322;0,009936186
41;0,013570937;0,013345605;0,012823291;0,01298625;0,012019033;0,011327147
42;0,001670539;0,001716944;0,001757859;0,001844171;0,002116209;0,002045959
43;0,000891248;0,000998126;0,001495872;0,001642576;0,001845837;0,002280868
44;0,073251048;0,073698848;0,070960278;0,070660372;0,070922255;0,07221723
45;0,014455491;0,014030547;0,013958662;0,013214516;0,013331005;0,012300788
46;0,002884153;0,003841785;0,004324296;0,004998526;0,005992856;0,005958561
47;0,011526385;0,011247514;0,010547651;0,009635964;0,008597217;0,009011744
48;0,00098359;0,001927551;0,002049733;0,002739351;0,003311033;0,004001887
49;0,021866608;0,021930274;0,022440235;0,022341386;0,022806268;0,023083191
50;0,032915583;0,033402506;0,032791258;0,033155272;0,031911561;0,033067043
51;0,00643352;0,005751686;0,004882222;0,004543715;0,004918878;0,004712365
52;0,003721692;0,003518731;0,003077566;0,003069749;0,003597952;0,002920792
53;0,047794644;0,050588865;0,054862475;0,057265826;0,063800102;0,067027608
54;0,004382749;0,003636137;0,003522031;0,003732008;0,00383622;0,003378692
55;0,003289536;0,003662824;0,003077477;0,003338932;0,003594671;0,003031539
56;0,89941678;0,873400183;0,839705693;0,810457854;0,77172455;0,729665857
57;0,003977465;0,003840234;0,003272186;0,003131609;0,003457424;0,003246609
58;0,00515833;0,004302632;0,004310055;0,005121442;0,005626503;0,005348268
59;0,003411788;0,003131247;0,003068845;0,002913351;0,003057061;0,002969583
60;0,012451944;0,010702094;0,01015385;0,009653734;0,009541302;0,008663657
61;0,027175721;0,024671025;0,02242935;0,019127235;0,019336262;0,018258891
62;0,002517548;0,002452542;0,002196125;0,002098858;0,00216019;0,00190093
63;0,003411648;0,003567981;0,004088538;0,004240995;0,005066292;0,005083576
64;0,005804004;0,005808352;0,006543075;0,007511575;0,008132805;0,009233984
65;0,004004891;0,004654226;0,00485556;0,005301265;0,006766732;0,007728306
66;0,00353387;0,004418018;0,005892477;0,006934244;0,008124229;0,008998249
67;0,002450945;0,002983824;0,003026573;0,003113587;0,00369671;0,003732651
68;0,001897429;0,002702575;0,002441054;0,003013658;0,003010791;0,00311089
69;0,003218673;0,003656894;0,00343779;0,00394146;0,004426188;0,004667226
70;0,002556727;0,003333107;0,002605065;0,002622473;0,002495666;0,002423015
71;0,00215272;0,002287808;0,002512651;0,002673143;0,002683711;0,002786953
72;0,020873096;0,020962339;0,02076714;0,019834573;0,021029057;0,020599929
73;0,003345961;0,004077705;0,004317203;0,005151123;0,006077822;0,007270804
74;0,003781222;0,005517379;0,006296179;0,007155;0,007893777;0,007800958
